names	groups	scores	logfc	pvals	pvals_adj
ENSG00000100299	7	4.117454	2.2649047	0.000474315038202799	7.29543960259725
ENSG00000134333	7	4.2990513	1.3811581	0.000718448131991506	11.0504507181614
ENSG00000148248	7	3.8856096	2.2936728	0.000848974681144118	13.0580795706777
ENSG00000129657	7	3.8397489	1.8278455	0.000907143286597375	13.9527708911542
ENSG00000134825	7	3.8438756	1.6014634	0.000925148982600365	14.2297165013762
ENSG00000166598	7	3.9130797	1.2310244	0.00094434082256554	14.5249061918806
ENSG00000179218	7	3.8309746	1.497169	0.000952949758982026	14.6573202429025
ENSG00000128228	7	3.7933514	1.9892793	0.00100440706570492	15.4487850776074
ENSG00000164938	7	3.9415848	1.3267251	0.00108436284061281	16.6785848514656
ENSG00000239264	7	3.7180476	2.056141	0.0012447116465844	19.1449098361147
ENSG00000135506	7	3.72441	1.4369028	0.00132526474575392	20.383897054441
ENSG00000211895	7	3.7533662	2.0776343	0.00135877555181982	20.8993267625407
ENSG00000128590	7	3.680985	2.2202778	0.00143022005090923	21.9982146030348
ENSG00000100219	7	3.5990283	2.0286834	0.00167038529545954	25.6921962294631
ENSG00000185507	7	3.6299484	2.740237	0.00196828312435789	30.2741627357487
ENSG00000132465	7	3.5010312	1.3110987	0.00202108828783913	31.0863589552537
ENSG00000157020	7	3.4932966	1.9154204	0.00207884592782656	31.9747292159003
ENSG00000153066	7	3.4938402	2.0294514	0.00218950063857791	33.6767093219669
ENSG00000134910	7	3.448227	1.4919752	0.00229661747264711	35.3242733467852
ENSG00000167077	7	3.4121835	1.7845676	0.00251719802221607	38.7170227797053
ENSG00000044574	7	3.413955	1.5036801	0.00253333285249594	38.96519260424
ENSG00000211890	7	3.4566188	2.3887508	0.00263292318732198	40.4969915441994
ENSG00000122862	7	3.3788583	1.7931347	0.00271096694010664	41.6973825057802
ENSG00000085063	7	3.410765	1.5111288	0.00276965410841106	42.6000498414706
ENSG00000128272	7	3.3530006	1.5504912	0.00287634961823726	44.2411334781073
ENSG00000086598	7	3.3557005	1.4982041	0.00288298991114507	44.3432678233224
ENSG00000065485	7	3.4394255	2.8190908	0.0032765432814888	50.3965122125792
ENSG00000242247	7	3.333017	2.2117636	0.00337063259362201	51.8436999225001
ENSG00000166794	7	3.282022	1.2674447	0.00340838437255503	52.4243600342689
ENSG00000196189	7	3.284992	2.0365765	0.00352967183860076	54.2898825495182
ENSG00000090520	7	3.2648702	1.7561449	0.0035533595115187	54.6542226466691
ENSG00000070214	7	3.2730248	1.818261	0.0036239872659369	55.7405481373754
ENSG00000131446	7	3.2609885	1.68861	0.00366149315244376	56.3174261777374
ENSG00000117448	7	3.2643716	1.474369	0.00374300299051698	57.5711289971417
ENSG00000134285	7	3.241724	1.6698469	0.00374503003544388	57.6023069751623
ENSG00000196998	7	3.2477336	1.7490102	0.00379870106653854	58.4278211044292
ENSG00000130414	7	3.212155	1.7270653	0.00403405724523766	62.0478344890005
ENSG00000129128	7	3.2054214	1.5779674	0.00408395057604569	62.8152438101588
ENSG00000182158	7	3.2092662	2.0067918	0.00411614708938627	63.3104583818503
ENSG00000123131	7	3.2036154	2.1879315	0.00448474682417923	68.9798909027007
ENSG00000163938	7	3.1652317	1.5861363	0.00485928037291749	74.7405914158439
ENSG00000123989	7	3.2736506	3.0146756	0.00490510873423866	75.4454774413248
ENSG00000134452	7	3.1615016	2.174712	0.00498177703972327	76.6247126479836
